"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BP","GO:0044281","small molecule metabolic process",43,-0.642688014276515,-3.21381835641654,1.47280453398658e-10,6.92218130973692e-08,4.79049053686161e-08,47,"tags=72%, list=31%, signal=69%","ACAA1/HAO1/ACSL1/ALDH2/ADH7/CYB5R3/IVD/GRHPR/ADH4/ACAA2/GOT2/UGP2/RETSAT/KHK/UGT2B10/HPD/ASL/DPYS/FBP1/GPD1/ALDOB/AGXT/UGT2B15/DHRS7/ACADS/ARG1/CPS1/CYP2C9/UGT2B7/SHMT1/CYP2C8"
"BP","GO:0006082","organic acid metabolic process",30,-0.684227778793752,-3.14511584583829,7.67455313632974e-10,9.01759993518744e-08,6.24062347138392e-08,47,"tags=80%, list=31%, signal=69%","ACAA1/HAO1/ACSL1/ADH7/IVD/GRHPR/ADH4/ACAA2/GOT2/UGT2B10/HPD/ASL/FBP1/GPD1/ALDOB/AGXT/UGT2B15/ACADS/ARG1/CPS1/CYP2C9/UGT2B7/SHMT1/CYP2C8"
"BP","GO:0019752","carboxylic acid metabolic process",30,-0.684227778793752,-3.14511584583829,7.67455313632974e-10,9.01759993518744e-08,6.24062347138392e-08,47,"tags=80%, list=31%, signal=69%","ACAA1/HAO1/ACSL1/ADH7/IVD/GRHPR/ADH4/ACAA2/GOT2/UGT2B10/HPD/ASL/FBP1/GPD1/ALDOB/AGXT/UGT2B15/ACADS/ARG1/CPS1/CYP2C9/UGT2B7/SHMT1/CYP2C8"
"BP","GO:0043436","oxoacid metabolic process",30,-0.684227778793752,-3.14511584583829,7.67455313632974e-10,9.01759993518744e-08,6.24062347138392e-08,47,"tags=80%, list=31%, signal=69%","ACAA1/HAO1/ACSL1/ADH7/IVD/GRHPR/ADH4/ACAA2/GOT2/UGT2B10/HPD/ASL/FBP1/GPD1/ALDOB/AGXT/UGT2B15/ACADS/ARG1/CPS1/CYP2C9/UGT2B7/SHMT1/CYP2C8"
"BP","GO:0008380","RNA splicing",11,0.850491964968588,2.85355553577244,7.6166258160852e-08,7.15962826712009e-06,4.9548155308849e-06,24,"tags=91%, list=16%, signal=82%","HNRNPA1/HNRNPR/PPP2R1A/HSPA1A/PTBP1/HNRNPA3/HNRNPU/PABPC1/RPS13/HNRNPC"
"MF","GO:0003824","catalytic activity",73,-0.486810381001971,-2.71445510905656,3.35042527887341e-07,2.62449980178417e-05,1.81628317749453e-05,49,"tags=53%, list=32%, signal=70%","RAB21/RAB5C/ACAA1/HAO1/ACSL1/LHPP/ALDH2/ADH7/CYB5R3/IVD/GRHPR/AKR7A3/ADH4/ACAA2/MAOB/GOT2/UGP2/RAB14/RETSAT/KHK/PYGL/UGT2B10/MGST1/HPD/ASL/DPYS/FBP1/GPD1/ALDOB/AGXT/UGT2B15/DHRS7/ACADS/ARG1/CPS1/CYP2C9/UGT2B7/SHMT1/CYP2C8"
"BP","GO:0016071","mRNA metabolic process",13,0.765676155215594,2.74289310799638,1.12923324321173e-06,7.58199463299305e-05,5.24711386695376e-05,38,"tags=92%, list=25%, signal=76%","HNRNPA1/HNRNPR/HSPA1A/PTBP1/HNRNPA3/HNRNPU/PABPC1/ANXA2/HNRNPC/SND1/SSB/RNH1"
"CC","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network",17,-0.699863482471076,-2.6815830987122,1.48114588145575e-06,8.70173205355252e-05,6.0220273338135e-05,53,"tags=94%, list=35%, signal=69%","PGRMC1/RAB21/ACSL1/CYB5R3/SCARB2/REEP6/RAB14/RETSAT/UGT2B10/MGST1/HPD/UGT2B15/DHRS7/CYP2C9/UGT2B7/CYP2C8"
"CC","GO:0032991","protein-containing complex",76,0.462430468386191,2.62619025704734,2.05182488620295e-06,0.000107150855168376,7.41536713259311e-05,65,"tags=62%, list=43%, signal=71%","KPNB1/CLIC1/HNRNPA1/HNRNPR/PPP2R1A/HSPA1A/XRCC5/HDLBP/HNRNPA3/HNRNPU/PABPC1/RPS13/FN1/ANXA2/HSP90AB1/IMMT/HNRNPC/CAPNS1/PAFAH1B2/XRCC6/EEF1B2/SND1/PSMC1/SSB/BANF1/RNH1/CCT6A/CAPZA1/TUBB/PSMD8/PSMC3/COL18A1/PPIA/RPL17/EZR/NSFL1C/NAPA/CFB/UQCRC2/HYOU1/ILF2/PSMD11/HINT1/HNRNPA2B1/RPL3/APOE/EEF1D"
"BP","GO:0006396","RNA processing",14,0.729678029806859,2.67328448222407,2.8895683204397e-06,0.000135809711060666,9.39870116858808e-05,24,"tags=71%, list=16%, signal=66%","HNRNPA1/HNRNPR/PPP2R1A/HSPA1A/PTBP1/HNRNPA3/HNRNPU/PABPC1/RPS13/HNRNPC"
"CC","GO:0140513","nuclear protein-containing complex",13,0.739435856543204,2.64889209478734,4.09550799142556e-06,0.000154981893722936,0.000107255106742189,28,"tags=77%, list=19%, signal=69%","KPNB1/HNRNPA1/HNRNPR/XRCC5/HNRNPA3/HNRNPU/PABPC1/ANXA2/HNRNPC/XRCC6"
"BP","GO:0032787","monocarboxylic acid metabolic process",23,-0.621450598073206,-2.61715551694122,4.17220219012127e-06,0.000154981893722936,0.000107255106742189,47,"tags=78%, list=31%, signal=64%","ACAA1/HAO1/ACSL1/ADH7/IVD/GRHPR/ADH4/ACAA2/UGT2B10/FBP1/GPD1/ALDOB/AGXT/UGT2B15/ACADS/CYP2C9/UGT2B7/CYP2C8"
